,movie_id,country_name
968,tt0363678,uk
969,tt0778916,usa
970,tt2337236,"usa, congo"
971,tt1578837,usa
973,tt0373145,usa
974,tt0415663,usa
975,tt1745941,"spain, guinea-bissau, portugal"
976,tt0167015,usa
977,tt6318202,india
978,tt0326402,usa
979,tt1863300,france
980,tt0965689,italy
981,tt4220530,usa
982,tt0025630,usa
984,tt2022431,lebanon
985,tt4321284,usa
986,tt2175713,usa
987,tt1473440,usa
990,tt0855725,usa
991,tt1702383,germany
992,tt0091983,usa
993,tt5182820,uk
994,tt2396396,usa
995,tt0472809,usa
996,tt1062328,nigeria
997,tt1664037,canada
998,tt6246170,india
999,tt0272871,sweden
1000,tt2333946,"usa, uk"
1001,tt1600450,usa
1002,tt0466239,usa
1003,tt3327138,usa
1004,tt2379386,"canada, germany, pakistan"
1005,tt1362466,usa
1006,tt6064960,usa
1007,tt2212046,uk
1008,tt0057878,usa
1009,tt1437431,uk
1010,tt1868052,usa
1011,tt1282486,uk
1012,tt2832320,usa
1013,tt1262948,australia
1014,tt0333805,usa
1015,tt2558596,usa
1016,tt1490724,usa
1017,tt0368621,usa
1018,tt0057928,portugal
1019,tt4536452,uk
1020,tt4420538,canada
1021,tt5932386,"australia, nepal"
1022,tt5376074,italy
1024,tt1754193,germany
1025,tt0002048,usa
1026,tt2049383,"germany, israel, usa"
1027,tt0458708,usa
1028,tt0132679,usa
1029,tt0477091,uk
1030,tt3834030,usa
1031,tt2170631,usa
1032,tt4773998,hungary
1033,tt0300486,egypt
1034,tt4898804,new zealand
1035,tt4991294,usa
1036,tt0226195,canada
1037,tt3093620,usa
1038,tt2354614,germany
1039,tt0106514,"usa, canada"
1040,tt1683904,usa
1041,tt4420904,uk
1042,tt0000624,usa
1043,tt4312762,uk
1044,tt0326390,usa
1045,tt2795754,usa
1046,tt1164730,uk
1047,tt3524344,usa
1048,tt4711986,usa
1049,tt1377162,usa
1050,tt0110603,usa
1051,tt1782502,uk
1052,tt0105410,usa
1053,tt0192792,"kyrgyzstan, ireland, usa"
1054,tt1810687,canada
1055,tt0945556,usa
1056,tt0926058,usa
1057,tt3443972,usa
1058,tt1422032,"spain, mexico, france"
1059,tt4340120,uk
1060,tt1256520,uk
1061,tt5147294,india
1063,tt2377700,switzerland
1064,tt4443718,uk
1065,tt1864567,uk
1067,tt5257422,usa
1068,tt0073871,italy
1069,tt0911003,usa
1070,tt1339491,usa
1071,tt6280072,israel
1072,tt3635180,uk
1073,tt0133449,usa
1074,tt3677232,uk
1075,tt0402207,germany
1076,tt0335104,uk
1077,tt2947326,usa
1078,tt0027564,usa
1079,tt4460094,usa
1080,tt0149587,usa
1081,tt3619070,usa
1082,tt3973146,uk
1085,tt5498618,canada
1086,tt3462728,"usa, argentina"
1087,tt0039463,usa
1088,tt2188653,canada
1089,tt6092810,usa
1090,tt0492226,usa
1091,tt0056252,"usa, czechoslovakia"
1092,tt5282308,usa
1094,tt4104284,usa
1095,tt2169662,france
1096,tt1308751,uk
1097,tt0067725,uk
1098,tt2150497,usa
1099,tt3476374,uk
1100,tt0359352,usa
1101,tt5804484,usa
1102,tt6370276,usa
1103,tt3344694,ireland
1104,tt1056466,usa
1105,tt2646276,finland
1106,tt4432728,usa
1107,tt1062407,usa
1108,tt0152998,usa
1109,tt0832214,usa
1110,tt0492327,bulgaria
1112,tt2758904,usa
1113,tt4302990,usa
1114,tt0012282,usa
1115,tt2357211,"india, canada"
1116,tt4620462,usa
1117,tt0385731,usa
1118,tt0025093,usa
1119,tt1409748,usa
1120,tt0181748,usa
1122,tt2124191,austria
1123,tt3348360,usa
1124,tt3845686,australia
1125,tt3962276,usa
1126,tt1219328,usa
1127,tt3579672,usa
1128,tt5457636,uk
1129,tt5086646,canada
1130,tt0072843,"west germany, iran"
1131,tt2959094,usa
1132,tt2978822,usa
1133,tt0096935,"switzerland, west germany"
1134,tt1347321,canada
1136,tt4960860,usa
1137,tt1422830,australia
1138,tt3790906,"usa, serbia and montenegro, slovenia, panama"
1139,tt3898458,uk
1140,tt0308950,usa
1141,tt0397235,usa
1142,tt0497141,canada
1143,tt1391644,uk
1144,tt0375057,usa
1145,tt0117195,usa
1148,tt0429261,usa
1149,tt2179698,new zealand
1152,tt0440614,germany
1154,tt0287738,usa
1155,tt1293663,usa
1156,tt2508926,usa
1157,tt0257871,"germany, canada"
