,movie_id,awards_unclean,award_name,award_qty,extra_award_name,extra_award_qty,nomination_name,nomination_qty,extra_nomination_name,extra_nomination_qty
135789,tt0481797,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
135801,tt1592207,1 win.,,,unknown,1.0,,,,
135821,tt1583271,1 nomination.,,,,,,,unknown,1.0
135843,tt0061616,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
135860,tt1967590,1 nomination.,,,,,,,unknown,1.0
135861,tt0168052,1 win & 3 nominations.,,,unknown,1.0,,,unknown,3.0
135872,tt1045654,2 wins.,,,unknown,2.0,,,,
135878,tt0893532,1 nomination.,,,,,,,unknown,1.0
135892,tt0163264,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
135893,tt1395296,2 wins & 1 nomination.,,,unknown,2.0,,,unknown,1.0
135901,tt3157318,4 wins & 3 nominations.,,,unknown,4.0,,,unknown,3.0
135903,tt0061584,won 2 oscars. another 4 wins & 14 nominations.,oscar,2.0,unknown,4.0,,,unknown,14.0
135907,tt1068652,1 win & 3 nominations.,,,unknown,1.0,,,unknown,3.0
135908,tt2451550,1 nomination.,,,,,,,unknown,1.0
135912,tt0905345,nominated for 1 primetime emmy. another 3 nominations.,,,,,primetime emmy,1.0,unknown,3.0
135921,tt0318025,2 wins & 5 nominations.,,,unknown,2.0,,,unknown,5.0
135924,tt0429231,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
135932,tt0184327,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
135940,tt0441490,2 wins & 1 nomination.,,,unknown,2.0,,,unknown,1.0
135944,tt1517621,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
135956,tt2979808,1 nomination.,,,,,,,unknown,1.0
135972,tt0305205,1 win.,,,unknown,1.0,,,,
135974,tt1867984,1 nomination.,,,,,,,unknown,1.0
135976,tt3673908,1 win.,,,unknown,1.0,,,,
135995,tt1853620,2 wins & 2 nominations.,,,unknown,2.0,,,unknown,2.0
136002,tt0479537,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
136027,tt0209471,2 wins.,,,unknown,2.0,,,,
136032,tt1880390,4 wins.,,,unknown,4.0,,,,
136068,tt0439548,1 nomination.,,,,,,,unknown,1.0
136081,tt0332398,4 wins & 3 nominations.,,,unknown,4.0,,,unknown,3.0
136092,tt0303400,3 wins.,,,unknown,3.0,,,,
136109,tt0040585,1 win.,,,unknown,1.0,,,,
136113,tt2295014,1 nomination.,,,,,,,unknown,1.0
136115,tt0409379,1 nomination.,,,,,,,unknown,1.0
136131,tt0266381,3 wins & 2 nominations.,,,unknown,3.0,,,unknown,2.0
136148,tt7981120,1 nomination.,,,,,,,unknown,1.0
136150,tt0312063,1 win & 4 nominations.,,,unknown,1.0,,,unknown,4.0
136152,tt0379199,1 win & 6 nominations.,,,unknown,1.0,,,unknown,6.0
136167,tt1772984,2 nominations.,,,,,,,unknown,2.0
136170,tt0490961,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
136186,tt1186248,2 nominations.,,,,,,,unknown,2.0
136200,tt0293745,won 1 primetime emmy. another 2 nominations.,primetime emmy,1.0,,,,,unknown,2.0
136201,tt0451097,1 win.,,,unknown,1.0,,,,
136205,tt0493430,1 nomination.,,,,,,,unknown,1.0
136210,tt1986204,1 win.,,,unknown,1.0,,,,
136211,tt5456104,4 nominations.,,,,,,,unknown,4.0
136229,tt1929373,1 win.,,,unknown,1.0,,,,
136246,tt1894476,1 win & 8 nominations.,,,unknown,1.0,,,unknown,8.0
136268,tt0244246,2 wins.,,,unknown,2.0,,,,
136269,tt0186191,2 nominations.,,,,,,,unknown,2.0
136285,tt0082876,1 nomination.,,,,,,,unknown,1.0
136304,tt1364251,1 nomination.,,,,,,,unknown,1.0
136306,tt0118548,1 nomination.,,,,,,,unknown,1.0
136313,tt0470053,1 win.,,,unknown,1.0,,,,
136316,tt0315191,4 wins.,,,unknown,4.0,,,,
136320,tt2180160,1 win.,,,unknown,1.0,,,,
136339,tt0965382,1 win.,,,unknown,1.0,,,,
136345,tt0067032,4 wins & 1 nomination.,,,unknown,4.0,,,unknown,1.0
136347,tt1815862,3 wins & 8 nominations.,,,unknown,3.0,,,unknown,8.0
136352,tt0090026,1 win.,,,unknown,1.0,,,,
136359,tt2171867,1 nomination.,,,,,,,unknown,1.0
136377,tt3832158,1 nomination.,,,,,,,unknown,1.0
136402,tt0808891,2 nominations.,,,,,,,unknown,2.0
136422,tt1242842,2 wins & 2 nominations.,,,unknown,2.0,,,unknown,2.0
136429,tt0126102,1 win.,,,unknown,1.0,,,,
136438,tt4576958,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
136439,tt1033477,1 win.,,,unknown,1.0,,,,
136471,tt0030910,nominated for 1 oscar. another 1 win.,,,unknown,1.0,oscar,1.0,,
136478,tt0239142,1 win.,,,unknown,1.0,,,,
136480,tt4460044,1 nomination.,,,,,,,unknown,1.0
136486,tt0948461,1 win.,,,unknown,1.0,,,,
136487,tt1090364,1 win.,,,unknown,1.0,,,,
136509,tt0059091,1 win.,,,unknown,1.0,,,,
136517,tt0237405,2 nominations.,,,,,,,unknown,2.0
136519,tt0371738,3 nominations.,,,,,,,unknown,3.0
136529,tt3579808,5 wins & 10 nominations.,,,unknown,5.0,,,unknown,10.0
136533,tt2881148,1 win.,,,unknown,1.0,,,,
136546,tt0206794,2 wins.,,,unknown,2.0,,,,
136553,tt0247063,1 nomination.,,,,,,,unknown,1.0
136558,tt0122658,1 win.,,,unknown,1.0,,,,
136570,tt0119819,1 nomination.,,,,,,,unknown,1.0
136574,tt1787648,1 win.,,,unknown,1.0,,,,
136585,tt0480691,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
136599,tt2286988,2 wins & 5 nominations.,,,unknown,2.0,,,unknown,5.0
136603,tt0079845,4 wins & 1 nomination.,,,unknown,4.0,,,unknown,1.0
136605,tt3666854,1 nomination.,,,,,,,unknown,1.0
136616,tt1305674,3 wins.,,,unknown,3.0,,,,
136622,tt0393099,1 win.,,,unknown,1.0,,,,
136628,tt0231351,won 2 primetime emmys. another 1 win & 6 nominations.,primetime emmy,2.0,unknown,1.0,,,unknown,6.0
136636,tt7495440,1 win.,,,unknown,1.0,,,,
136638,tt0841101,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
136641,tt0860870,1 win.,,,unknown,1.0,,,,
136651,tt1477071,1 win.,,,unknown,1.0,,,,
136653,tt0109412,1 nomination.,,,,,,,unknown,1.0
136741,tt0488848,6 wins.,,,unknown,6.0,,,,
136757,tt0491726,2 wins & 4 nominations.,,,unknown,2.0,,,unknown,4.0
136762,tt2567710,1 nomination.,,,,,,,unknown,1.0
136780,tt0381707,3 wins & 13 nominations.,,,unknown,3.0,,,unknown,13.0
136784,tt0065809,1 win.,,,unknown,1.0,,,,
136787,tt0313776,1 win.,,,unknown,1.0,,,,
136795,tt0079474,won 1 primetime emmy. another 1 nomination.,primetime emmy,1.0,,,,,unknown,1.0
136804,tt3339640,1 nomination.,,,,,,,unknown,1.0
136828,tt1740060,1 win.,,,unknown,1.0,,,,
136830,tt1166110,4 wins & 8 nominations.,,,unknown,4.0,,,unknown,8.0
136865,tt0389449,4 wins & 1 nomination.,,,unknown,4.0,,,unknown,1.0
136897,tt0388337,1 win.,,,unknown,1.0,,,,
136919,tt0176590,3 wins.,,,unknown,3.0,,,,
136920,tt0292832,2 nominations.,,,,,,,unknown,2.0
136929,tt3720058,1 win & 4 nominations.,,,unknown,1.0,,,unknown,4.0
136954,tt0304940,1 nomination.,,,,,,,unknown,1.0
136956,tt1552754,1 win.,,,unknown,1.0,,,,
136971,tt0469976,1 nomination.,,,,,,,unknown,1.0
136974,tt1393742,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
136984,tt5149956,1 nomination.,,,,,,,unknown,1.0
136990,tt0419909,3 wins & 5 nominations.,,,unknown,3.0,,,unknown,5.0
136998,tt0226925,1 win.,,,unknown,1.0,,,,
137030,tt2724046,1 win.,,,unknown,1.0,,,,
137049,tt2846378,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
137054,tt0117907,3 wins.,,,unknown,3.0,,,,
137058,tt0075765,2 nominations.,,,,,,,unknown,2.0
137065,tt2500830,1 nomination.,,,,,,,unknown,1.0
137073,tt3484796,1 win & 6 nominations.,,,unknown,1.0,,,unknown,6.0
137083,tt4137452,1 win.,,,unknown,1.0,,,,
137084,tt0274457,2 nominations.,,,,,,,unknown,2.0
137123,tt5097120,1 nomination.,,,,,,,unknown,1.0
137125,tt1227903,1 win.,,,unknown,1.0,,,,
